"","location","TIME","fiscal_transparency"
"1","BEL","2003",66.7
"2","CAN","2003",22.2
"3","CZE","2003",33.3
"4","DNK","2003",66.7
"5","EST","2003",22.2
"6","FIN","2003",66.7
"7","FRA","2003",38.9
"8","HUN","2003",66.7
"9","IRL","2003",0
"10","ISR","2003",33.3
"11","ITA","2003",50
"12","JPN","2003",0
"13","LUX","2003",16.7
"14","NLD","2003",50
"15","NOR","2003",0
"16","POL","2003",27.8
"17","PRT","2003",50
"18","SVK","2003",66.7
"19","ESP","2003",66.7
"20","SWE","2003",50
"21","TUR","2003",5.6
"22","GBR","2003",50
"23","USA","2003",33.3
"24","BEL","2004",66.7
"25","CAN","2004",33.3
"26","CZE","2004",33.3
"27","DNK","2004",66.7
"28","EST","2004",22.2
"29","FIN","2004",66.7
"30","FRA","2004",38.9
"31","HUN","2004",66.7
"32","IRL","2004",0
"33","ISR","2004",33.3
"34","ITA","2004",0
"35","JPN","2004",0
"36","LUX","2004",66.7
"37","NLD","2004",50
"38","NOR","2004",83.3
"39","POL","2004",27.8
"40","PRT","2004",50
"41","SVK","2004",100
"42","ESP","2004",16.7
"43","SWE","2004",50
"44","TUR","2004",5.6
"45","GBR","2004",50
"46","USA","2004",33.3
"47","BEL","2005",50
"48","CAN","2005",33.3
"49","CZE","2005",27.8
"50","DNK","2005",66.7
"51","EST","2005",0
"52","FIN","2005",50
"53","FRA","2005",83.3
"54","HUN","2005",66.7
"55","IRL","2005",0
"56","ISR","2005",33.3
"57","ITA","2005",16.7
"58","JPN","2005",100
"59","LUX","2005",66.7
"60","NLD","2005",50
"61","NOR","2005",100
"62","POL","2005",33.3
"63","PRT","2005",50
"64","SVK","2005",100
"65","ESP","2005",33.3
"66","SWE","2005",50
"67","TUR","2005",0
"68","GBR","2005",50
"69","USA","2005",33.3
"70","BEL","2006",50
"71","CAN","2006",33.3
"72","CZE","2006",33.3
"73","DNK","2006",66.7
"74","EST","2006",50
"75","FIN","2006",66.7
"76","FRA","2006",66.7
"77","HUN","2006",83.3
"78","IRL","2006",50
"79","ISR","2006",33.3
"80","ITA","2006",50
"81","JPN","2006",100
"82","LUX","2006",50
"83","NLD","2006",50
"84","NOR","2006",83.3
"85","POL","2006",66.7
"86","PRT","2006",50
"87","SVK","2006",100
"88","ESP","2006",50
"89","SWE","2006",50
"90","TUR","2006",11.1
"91","GBR","2006",50
"92","USA","2006",33.3
"93","BEL","2007",50
"94","CAN","2007",33.3
"95","CZE","2007",33.3
"96","DNK","2007",66.7
"97","EST","2007",50
"98","FIN","2007",66.7
"99","FRA","2007",50
"100","HUN","2007",50
"101","IRL","2007",50
"102","ISR","2007",33.3
"103","ITA","2007",50
"104","JPN","2007",100
"105","LUX","2007",66.7
"106","NLD","2007",50
"107","NOR","2007",83.3
"108","POL","2007",66.7
"109","PRT","2007",50
"110","SVK","2007",100
"111","ESP","2007",50
"112","SWE","2007",50
"113","TUR","2007",27.8
"114","GBR","2007",50
"115","USA","2007",33.3
"116","BEL","2008",50
"117","CAN","2008",33.3
"118","CZE","2008",33.3
"119","DNK","2008",66.7
"120","EST","2008",50
"121","FIN","2008",50
"122","FRA","2008",50
"123","HUN","2008",66.7
"124","IRL","2008",50
"125","ISR","2008",16.7
"126","ITA","2008",50
"127","JPN","2008",100
"128","LUX","2008",50
"129","NLD","2008",33.3
"130","NOR","2008",83.3
"131","POL","2008",66.7
"132","PRT","2008",50
"133","SVK","2008",100
"134","ESP","2008",50
"135","SWE","2008",50
"136","TUR","2008",27.8
"137","GBR","2008",50
"138","USA","2008",33.3
"139","BEL","2009",50
"140","CAN","2009",66.7
"141","CZE","2009",33.3
"142","DNK","2009",66.7
"143","EST","2009",50
"144","FIN","2009",50
"145","FRA","2009",50
"146","HUN","2009",66.7
"147","IRL","2009",50
"148","ISR","2009",33.3
"149","ITA","2009",50
"150","JPN","2009",100
"151","LUX","2009",50
"152","NLD","2009",50
"153","NOR","2009",83.3
"154","POL","2009",66.7
"155","PRT","2009",50
"156","SVK","2009",100
"157","ESP","2009",50
"158","SWE","2009",50
"159","TUR","2009",22.2
"160","GBR","2009",50
"161","USA","2009",33.3
"162","BEL","2010",50
"163","CAN","2010",66.7
"164","CZE","2010",33.3
"165","DNK","2010",66.7
"166","EST","2010",50
"167","FIN","2010",50
"168","FRA","2010",50
"169","HUN","2010",66.7
"170","IRL","2010",50
"171","ISR","2010",33.3
"172","ITA","2010",50
"173","JPN","2010",100
"174","LUX","2010",50
"175","NLD","2010",50
"176","NOR","2010",83.3
"177","POL","2010",50
"178","PRT","2010",50
"179","SVK","2010",100
"180","ESP","2010",50
"181","SWE","2010",50
"182","TUR","2010",66.7
"183","GBR","2010",50
"184","USA","2010",27.8
"185","BEL","2011",50
"186","CAN","2011",66.7
"187","CZE","2011",33.3
"188","DNK","2011",66.7
"189","EST","2011",50
"190","FIN","2011",50
"191","FRA","2011",50
"192","HUN","2011",66.7
"193","IRL","2011",50
"194","ISR","2011",33.3
"195","ITA","2011",50
"196","JPN","2011",83.3
"197","LUX","2011",50
"198","NLD","2011",50
"199","NOR","2011",83.3
"200","POL","2011",33.3
"201","PRT","2011",50
"202","SVK","2011",100
"203","ESP","2011",50
"204","SWE","2011",50
"205","TUR","2011",66.7
"206","GBR","2011",50
"207","USA","2011",66.7
"208","BEL","2012",50
"209","CAN","2012",66.7
"210","CZE","2012",33.3
"211","DNK","2012",66.7
"212","EST","2012",50
"213","FIN","2012",50
"214","FRA","2012",50
"215","HUN","2012",66.7
"216","IRL","2012",50
"217","ISR","2012",33.3
"218","ITA","2012",50
"219","JPN","2012",83.3
"220","LUX","2012",50
"221","NLD","2012",50
"222","NOR","2012",83.3
"223","POL","2012",33.3
"224","PRT","2012",50
"225","SVK","2012",100
"226","ESP","2012",50
"227","SWE","2012",50
"228","TUR","2012",83.3
"229","GBR","2012",50
"230","USA","2012",66.7
"231","BEL","2013",50
"232","CAN","2013",66.7
"233","CZE","2013",33.3
"234","DNK","2013",66.7
"235","EST","2013",66.7
"236","FIN","2013",50
"237","FRA","2013",66.7
"238","HUN","2013",66.7
"239","IRL","2013",66.7
"240","ISR","2013",33.3
"241","ITA","2013",50
"242","JPN","2013",83.3
"243","LUX","2013",50
"244","NLD","2013",66.7
"245","NOR","2013",83.3
"246","POL","2013",33.3
"247","PRT","2013",50
"248","SVK","2013",100
"249","ESP","2013",50
"250","SWE","2013",50
"251","TUR","2013",83.3
"252","GBR","2013",50
"253","USA","2013",66.7
